sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,score_text
Male,69,Greater than 45,Other,0,0,0,0,-1,F,Aggravated Assault w/Firearm,0,Low
Male,31,25 - 45,Caucasian,0,0,0,0,,O,,-1,Low
Male,34,25 - 45,African-American,0,0,0,0,-1,F,Felony Battery w/Prior Convict,1,Low
Male,24,Less than 25,African-American,0,0,1,4,-1,F,Possession of Cocaine,1,Low
Male,23,Less than 25,African-American,0,1,0,1,,F,Possession of Cannabis,0,High
Male,43,25 - 45,Other,0,0,0,2,,F,arrest case no charge,0,Low
Male,44,25 - 45,Other,0,0,0,0,0,M,Battery,0,Low
Male,41,25 - 45,Caucasian,0,0,0,14,-1,F,Possession Burglary Tools,1,High
Male,43,25 - 45,Other,0,0,0,3,-1,F,arrest case no charge,0,Low
Female,39,25 - 45,Caucasian,0,0,0,0,-1,M,Battery,0,Low
Male,20,Less than 25,Caucasian,0,0,1,0,-1,F,Possession Of Alprazolam,0,High
Female,26,25 - 45,Caucasian,0,0,0,0,-1,F,Possession Of Alprazolam,0,Low
Male,21,Less than 25,Caucasian,0,0,0,1,428,F,Insurance Fraud,1,Low
Male,27,25 - 45,Caucasian,0,0,0,0,-1,F,"Poss 3,4 MDMA (Ecstasy)",0,Low
Male,23,Less than 25,African-American,0,0,0,3,0,M,Battery,1,High
Female,37,25 - 45,Caucasian,0,0,0,0,0,M,Battery,0,Low
Male,22,Less than 25,Caucasian,0,0,0,0,0,M,Battery,0,Low
Male,41,25 - 45,African-American,0,0,0,0,-1,F,"Poss3,4 Methylenedioxymethcath",0,Low
Female,47,Greater than 45,Caucasian,0,0,0,1,-20,F,arrest case no charge,1,Low
Male,31,25 - 45,African-American,0,0,0,7,22,F,Felony Driving While Lic Suspd,1,Low
Male,37,25 - 45,Hispanic,0,0,0,0,0,M,Battery,0,Low
Male,25,25 - 45,African-American,0,0,0,3,-1,F,Grand Theft in the 3rd Degree,0,High
Male,31,25 - 45,Caucasian,0,0,0,6,-1,F,Driving While License Revoked,1,Low
Male,31,25 - 45,Caucasian,0,0,0,5,-1,F,Possession Of Heroin,1,Low
Male,64,Greater than 45,African-American,0,0,0,13,-1,F,arrest case no charge,1,High
Male,21,Less than 25,African-American,0,0,0,1,-1,F,Battery on Law Enforc Officer,1,High
Male,27,25 - 45,Caucasian,0,0,0,0,0,M,Possession Of Methamphetamine,1,Low
Female,21,Less than 25,Caucasian,0,0,0,0,-2,F,Introduce Contraband Into Jail,0,Low
Male,24,Less than 25,African-American,0,0,0,2,0,F,Poss Pyrrolidinovalerophenone,1,Low
Male,24,Less than 25,Hispanic,0,0,0,1,0,F,Lewd/Lasc Battery Pers 12+/<16,1,Low
Male,42,25 - 45,Caucasian,0,0,0,1,-132,F,Trafficking In Methamphetamine,0,Low
Male,43,25 - 45,Caucasian,0,0,0,1,-1,M,Susp Drivers Lic 1st Offense,0,Low
Male,32,25 - 45,Other,0,0,0,0,-1,M,Battery,0,Low
Female,54,Greater than 45,African-American,0,0,0,0,-1,F,"Poss3,4 Methylenedioxymethcath",0,High
Male,44,25 - 45,African-American,0,0,0,8,0,M,arrest case no charge,0,High
Female,49,Greater than 45,Caucasian,0,0,0,0,,O,,-1,Low
Male,27,25 - 45,African-American,0,0,0,8,-1,F,Carrying Concealed Firearm,1,Low
Female,36,25 - 45,Caucasian,0,0,0,3,53,F,arrest case no charge,0,Low
Male,26,25 - 45,African-American,0,0,1,5,-1,F,Pos Cannabis W/Intent Sel/Del,1,High
Male,33,25 - 45,African-American,0,0,0,0,0,F,Tampering With Physical Evidence,1,High
Male,30,25 - 45,Caucasian,0,0,0,9,0,F,Felony Battery w/Prior Convict,1,High
Male,32,25 - 45,African-American,0,0,0,4,-1,F,Att Tamper w/Physical Evidence,1,High
Male,63,Greater than 45,African-American,0,0,0,0,-1,M,Battery,0,Low
Male,27,25 - 45,Hispanic,0,0,0,2,0,F,Possession of Cocaine,0,Low
Male,55,Greater than 45,Caucasian,0,0,0,0,-1,F,arrest case no charge,0,Low
Male,29,25 - 45,Caucasian,0,0,0,0,,O,,-1,High
Male,32,25 - 45,African-American,0,0,0,15,0,F,Felony Petit Theft,0,High
Male,38,25 - 45,African-American,0,0,2,5,-1,F,Burglary Structure Assault/Batt,0,Low
Male,53,Greater than 45,Caucasian,0,0,0,19,-1,F,Fel Drive License Perm Revoke,0,Low
Male,49,Greater than 45,Other,0,0,0,7,-1,F,Agg Fleeing and Eluding,1,Low
Male,26,25 - 45,Caucasian,0,0,2,6,81,M,Operating W/O Valid License,0,High
Female,33,25 - 45,Caucasian,0,0,0,4,-1,M,Battery,1,Low
Male,24,Less than 25,Caucasian,0,0,0,1,0,M,Battery,1,Low
Male,34,25 - 45,African-American,2,1,3,21,0,F,Poss Wep Conv Felon,1,High
Male,29,25 - 45,Caucasian,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,Low
Female,21,Less than 25,African-American,0,0,0,2,-1,F,arrest case no charge,0,High
Male,51,Greater than 45,African-American,0,0,0,2,-1,M,Unlaw Use False Name/Identity,0,Low
Male,36,25 - 45,African-American,0,0,0,0,,O,,-1,Low
Male,29,25 - 45,Caucasian,0,0,0,2,-1,M,Viol Injunct Domestic Violence,1,Low
Male,25,25 - 45,African-American,0,0,0,0,-1,F,Burglary Unoccupied Dwelling,0,High
Female,51,Greater than 45,African-American,0,0,0,7,-1,F,Possession of Cocaine,0,Low
Male,28,25 - 45,Caucasian,0,0,0,8,0,F,Possession of Cocaine,0,High
Male,36,25 - 45,African-American,0,0,0,22,-1,M,Burglary Dwelling Occupied,0,High
Male,29,25 - 45,African-American,0,0,0,0,0,F,Defrauding Innkeeper $300/More,1,High
Male,29,25 - 45,Other,0,0,0,0,-1,M,Battery,0,Low
Male,25,25 - 45,Caucasian,0,0,0,9,-1,M,Battery,1,High
Male,35,25 - 45,African-American,1,0,4,13,-1,F,Uttering a Forged Instrument,1,High
Male,49,Greater than 45,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Low
Male,34,25 - 45,African-American,0,0,0,4,-59,M,Driving License Suspended,1,Low
Male,29,25 - 45,African-American,0,0,0,0,0,F,Tampering With Physical Evidence,0,Low
Male,29,25 - 45,Caucasian,0,0,0,1,-24,F,Possession of Oxycodone,1,Low
Female,28,25 - 45,Other,0,0,0,0,-1,F,Grand Theft in the 3rd Degree,0,Low
Male,51,Greater than 45,Caucasian,0,0,0,0,-1,F,Grand Theft in the 3rd Degree,0,Low
Male,25,25 - 45,Caucasian,0,0,0,0,0,F,Possession of Cocaine,0,Low
Male,48,Greater than 45,Caucasian,0,0,0,20,302,F,arrest case no charge,1,High
